조사일,품목,단위,가격,비고
2022-01-07,배,개,2700,"저탄소안증배/1팩 4개 10,800원"
2022-01-07,사과,1개,1596,"밀양 얼음골사과/1팩 5~6 7,980원"
2022-01-07,쇠고기,100g1등급,5980,"부천농축산물/1근 600g1등급 35,880원"
2022-01-07,조기,1마리 10cm ,990,"제주산참조기/1팩 10cm 5마리 4,950원"
2022-01-07,명태,1마리 45cm ,4950,러시아산 냉동 토막동태
2022-01-07,돼지고기,100g ,2480,"부경축산물/1근 600g 14,880원"
2022-01-07,오징어,1마리 30cm ,6780,"국내산 생물/1팩 2마리 30cm 13,560원"
2022-01-07,고등어,1마리 30cm ,3890,"국내산 생물/1팩 2마리 30cm 7,780원"
2022-01-07,닭고기,1kg,9975,"마니커무항생제/1마리 800g 7,980원"
2022-01-07,배추,2.5kg ,4555,"국내산 곤지암/1포기 1.8kg 3,280원"
2022-01-07,무,1개,1480,국내산 세척무
2022-01-07,양파,1.5kg,3317,"1망 1.8kg 3,980원/ 1/12 2980 신세계카드 적립"
2022-01-07,상추,100g ,1240,"논산양촌/1망 200g 2,480원"
2022-01-07,오이,1개,1196,"국내산 백오이/1팩 5개 5,980원"
2022-01-07,애호박,1개,2580,국내산 논개
2022-01-07,달걀,30구,6480,신선특란
2022-01-13,배,1개,2700,"저탄소인증배/1팩 4개 10,800원"
2022-01-13,사과,1개,1725,"얼음골사과/1팩 4개 6,900원"
2022-01-13,쇠고기,100g( 1 ),5880,부천축산물공판장
2022-01-13,조기,1마리 10cm ,990,"제주 참조기/1팩 10마리 9,900원"
2022-01-13,명태,1마리 45cm ,4950,러시아산 냉동토막동태
2022-01-13,돼지고기,100g ,2480,부경축산
2022-01-13,오징어,1마리 30cm,6780,"국내산생물/1팩 2마리 13,560원"
2022-01-13,고등어,1마리 30cm ,3890,"국내산 생물/1팩 2마리 7,780원"
2022-01-13,닭고기,1마리 1kg,8980,마니커 무항생제
2022-01-13,배추,2.5kg ,4555,"국내산/1포기 1.8kg 3,280원"
2022-01-13,무,1개,1350,국내산 세척무
2022-01-13,양파,1.5kg,3317,"국내산/1망 1.8kg 3,980원"
2022-01-13,상추,100g ,1240,"논산양촌/1팩 200g 2,480원"
2022-01-13,오이,1개,1196,"국내산 백오이1팩 5개 5,980원"
2022-01-13,애호박,1개,2580,논개
2022-01-13,달걀,30구,7980,신선대란
2022-01-20,배,1개,2700,"저탄소인증배/1팩 4개 10,800원"
2022-01-20,사과,1개,1995,"저탄소인증사과/1팩 4개 7,980원"
2022-01-20,쇠고기,100g (1+),5880,농협부천축산물
2022-01-20,조기,1마리 25cm ,6880,국내산 해동
2022-01-20,명태,1마리 45cm ,4980,러시아산 냉동토막동태
2022-01-20,돼지고기,100g ,3480,도투람엘피시
2022-01-20,오징어,1마리 20cm ,3390,"국내산 생물/2마리 6,780원"
2022-01-20,고등어,1마리리 35cm ,3490,"자반고등어 한손 6,980원"
2022-01-20,닭고기,1마리 1kg,8980,무항생제 하림
2022-01-20,배추,2.5kg,5528,"국내산 손질배추/1포기 1.8kg 3,980"
2022-01-20,무,1개,1350,국내산 세척무
2022-01-20,양파,1망 1.5kg,3317,"국내산/1망 1.8kg 3,980원"
2022-01-20,상추,100g ,1090,"논산양촌/1망 200g 2,180원"
2022-01-20,오이,1개,1196,"1팩 5개 5,980원 신세계카드 4980"
2022-01-20,애호박,1개,1980,진주드림
2022-01-20,달걀,30구,6380,신선특란
2022-02-03,배,1개,2875,"저탄소인증배/1팩 4개 11,500원"
2022-02-03,사과,1개,5267,"저탄소인증사과/1팩 3~4개 15,800원"
2022-02-03,쇠고기,100g (1+),6380,농협음성축산물
2022-02-03,조기,1마리 20cm ,3180,"국내산 참조기 해동/1팩 3마리 9,540원"
2022-02-03,명태,1마리 45cm ,4980,러시아산 냉동토막동태
2022-02-03,돼지고기,100g ,2280,도투람김제
